"-3","-2.5","-2","-1.5","-1","-0.5","0","0.5","1","1.5","2"
0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.953,0.952,0.944
0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.95,0.95,0.948,0.94
0.954,0.954,0.954,0.954,0.954,0.954,0.953,0.953,0.953,0.951,0.944
0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.949,0.941
0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.953,0.952,0.943
0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.952,0.945
0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.95,0.942
0.95,0.95,0.95,0.95,0.95,0.95,0.949,0.949,0.949,0.947,0.939
0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.95,0.942
0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.954,0.947
0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.949,0.948,0.94
0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.955,0.953,0.945
0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.953,0.945
0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.951,0.949,0.941
0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.953,0.952,0.944
0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.948,0.941
0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.949,0.94
0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.953,0.945
0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.951,0.951,0.949,0.941
0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.952,0.945
0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.956,0.954,0.946
0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.955,0.947
0.953,0.953,0.953,0.953,0.953,0.953,0.953,0.953,0.952,0.951,0.943
0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.95,0.949,0.942
0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.949,0.948,0.94
0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.953,0.952,0.944
0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.948,0.94
0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.953,0.953,0.951,0.942
0.953,0.953,0.953,0.953,0.953,0.953,0.953,0.953,0.953,0.951,0.943
0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.949,0.948,0.94
0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.95,0.943
0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.952,0.944
0.953,0.953,0.953,0.953,0.953,0.953,0.953,0.953,0.952,0.95,0.942
0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.955,0.955,0.953,0.944
0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.954,0.953,0.944
0.953,0.953,0.953,0.953,0.953,0.953,0.953,0.952,0.952,0.951,0.942
0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.949,0.941
0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.947,0.941
0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.949,0.941
0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.953,0.945
