"-3","-2","0","1","2"
0.981222,0.9811654,0.9878414,0.9824192,0.9530821
0.9858024,0.985704,0.9869882,0.9844153,0.9516884
0.9874157,0.9880148,0.9853836,0.9801698,0.9510998
0.9809665,0.9776526,0.9873934,0.9814417,0.9539799
0.9866073,0.9790982,0.9856954,0.9841591,0.9563179
0.9833178,0.9841097,0.9863855,0.9844741,0.948017
0.9863369,0.985942,0.9890855,0.9822316,0.9498452
0.976299,0.9856735,0.9879897,0.9820392,0.9492763
0.9780364,0.9852839,0.987111,0.9842901,0.9506777
0.981977,0.9782667,0.985959,0.9844842,0.9517648
0.9872464,0.9885821,0.9872078,0.9824535,0.9525944
0.9788032,0.978087,0.9866318,0.9829209,0.9523952
0.9729292,0.9878251,0.98775,0.9821191,0.9522696
0.9791275,0.9758514,0.9852579,0.980839,0.9479424
0.9874089,0.9768351,0.9859517,0.9834286,0.9501882
0.9879598,0.9842397,0.9886102,0.9820218,0.9537496
0.9810924,0.9856285,0.985406,0.9853307,0.949766
0.9885273,0.980675,0.9872958,0.9840594,0.9504462
0.9887333,0.9784728,0.9871405,0.9831095,0.9544755
0.9760884,NA,0.9887784,0.9835583,0.952113
