"-3","-2.5","-2","-1.5","-1","-0.5","0","0.5","1","1.5","2"
0.976,0.976,0.977,0.976,0.976,0.976,0.974,0.969,0.953,0.937,0.89
0.974,0.974,0.974,0.974,0.974,0.973,0.971,0.965,0.946,0.928,0.888
0.977,0.977,0.977,0.977,0.977,0.977,0.975,0.969,0.954,0.935,0.884
0.98,0.98,0.98,0.98,0.979,0.979,0.976,0.97,0.953,0.934,0.88
0.972,0.972,0.972,0.972,0.972,0.972,0.971,0.967,0.951,0.935,0.902
0.977,0.977,0.977,0.977,0.978,0.977,0.976,0.972,0.957,0.937,0.891
0.973,0.973,0.973,0.973,0.973,0.972,0.969,0.965,0.95,0.928,0.869
0.979,0.979,0.979,0.979,0.979,0.979,0.977,0.972,0.955,0.934,0.871
0.974,0.974,0.974,0.974,0.974,0.974,0.973,0.968,0.953,0.936,0.894
0.97,0.971,0.971,0.971,0.971,0.97,0.968,0.963,0.945,0.921,0.856
0.978,0.978,0.978,0.978,0.978,0.978,0.976,0.972,0.958,0.942,0.893
0.973,0.974,0.974,0.974,0.974,0.973,0.971,0.965,0.946,0.924,0.865
0.975,0.976,0.976,0.976,0.976,0.976,0.974,0.969,0.954,0.939,0.896
0.979,0.979,0.979,0.979,0.979,0.978,0.975,0.97,0.951,0.931,0.881
0.979,0.979,0.979,0.979,0.979,0.979,0.977,0.972,0.958,0.941,0.892
0.973,0.973,0.973,0.973,0.973,0.973,0.97,0.964,0.949,0.929,0.882
0.975,0.975,0.975,0.975,0.975,0.975,0.973,0.968,0.952,0.934,0.891
0.974,0.974,0.974,0.975,0.975,0.975,0.974,0.969,0.953,0.937,0.885
0.969,0.969,0.97,0.97,0.97,0.969,0.968,0.963,0.946,0.922,0.858
0.976,0.976,0.976,0.976,0.975,0.975,0.973,0.967,0.95,0.932,0.885
0.98,0.98,0.981,0.981,0.98,0.98,0.979,0.974,0.958,0.939,0.896
0.979,0.979,0.98,0.98,0.98,0.98,0.979,0.975,0.965,0.952,0.921
0.971,0.971,0.971,0.972,0.972,0.971,0.969,0.961,0.94,0.908,0.82
0.973,0.973,0.974,0.974,0.974,0.974,0.972,0.968,0.952,0.932,0.879
0.972,0.973,0.973,0.973,0.973,0.972,0.97,0.965,0.946,0.926,0.876
0.975,0.975,0.975,0.974,0.974,0.974,0.971,0.965,0.95,0.933,0.88
0.976,0.976,0.976,0.976,0.976,0.976,0.974,0.971,0.958,0.944,0.91
0.972,0.972,0.972,0.972,0.972,0.972,0.969,0.964,0.945,0.925,0.87
0.976,0.976,0.976,0.976,0.976,0.975,0.973,0.967,0.95,0.933,0.885
0.976,0.976,0.976,0.976,0.976,0.975,0.973,0.968,0.95,0.931,0.885
