"-2","-1","0","1"
0.93,0.93,0.93,0.93
0.933,0.933,0.933,0.934
0.926,0.926,0.926,0.927
0.921,0.921,0.922,0.924
0.921,0.921,0.921,0.923
0.922,0.922,0.922,0.923
0.929,0.929,0.929,0.932
0.928,0.928,0.928,0.931
0.928,0.928,0.929,0.931
0.935,0.935,0.935,0.935
0.92,0.92,0.92,0.923
0.924,0.924,0.924,0.926
0.923,0.923,0.924,0.926
0.927,0.928,0.928,0.931
0.938,0.939,0.939,0.941
0.935,0.935,0.935,0.936
0.931,0.931,0.931,0.933
0.921,0.921,0.922,0.923
0.925,0.925,0.925,0.927
0.923,0.923,0.923,0.923
0.921,0.921,0.922,0.923
0.933,0.933,0.933,0.934
0.926,0.926,0.927,0.929
0.928,0.928,0.928,0.929
0.92,0.92,0.92,0.922
0.931,0.931,0.931,0.933
0.932,0.932,0.932,0.932
0.927,0.927,0.928,0.93
0.918,0.918,0.919,0.921
0.935,0.935,0.936,0.936
