"-3","-2.5","-2","-1.5","-1","-0.5","0","0.5","1"
0.576,0.576,0.576,0.576,0.576,0.576,0.575,0.572,0.565
0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.601,0.594
0.631,0.631,0.631,0.631,0.631,0.632,0.632,0.632,0.627
0.536,0.536,0.536,0.536,0.536,0.536,0.534,0.531,0.523
0.568,0.568,0.568,0.568,0.568,0.567,0.566,0.563,0.131
0.526,0.526,0.526,0.526,0.526,0.525,0.524,0.519,0.509
0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.602,0.597
0.543,0.543,0.543,0.543,0.543,0.542,0.541,0.538,0.53
0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.598,0.592
0.59,0.59,0.59,0.59,0.589,0.589,0.588,0.584,0.577
0.583,0.583,0.583,0.583,0.583,0.584,0.584,0.583,0.577
0.571,0.571,0.571,0.571,0.571,0.57,0.569,0.566,0.558
0.6,0.6,0.6,0.6,0.6,0.599,0.598,0.595,0.588
0.559,0.559,0.559,0.559,0.559,0.558,0.557,0.553,0.545
0.558,0.558,0.558,0.558,0.557,0.557,0.555,0.55,0.541
0.537,0.537,0.537,0.537,0.537,0.536,0.535,0.532,0.524
0.616,0.616,0.616,0.616,0.616,0.617,0.617,0.616,0.612
0.575,0.575,0.575,0.575,0.575,0.575,0.574,0.572,0.565
0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.123,0.153
0.628,0.628,0.628,0.628,0.628,0.628,0.627,0.624,0.618
0.547,0.547,0.547,0.547,0.547,0.547,0.545,0.54,0.532
0.536,0.536,0.536,0.536,0.536,0.535,0.533,0.528,0.519
0.576,0.576,0.576,0.576,0.576,0.576,0.576,0.574,0.567
0.577,0.577,0.577,0.577,0.577,0.577,0.577,0.576,0.569
0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.623,0.617
0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.613,0.606
0.165,0.165,0.165,0.165,0.165,0.165,0.164,0.163,0.575
0.563,0.563,0.563,0.563,0.563,0.562,0.561,0.558,0.551
0.583,0.583,0.583,0.583,0.583,0.583,0.582,0.579,0.572
0.583,0.583,0.583,0.583,0.583,0.583,0.582,0.579,0.572
