"-3","-2.5","-2","-1.5","-1","-0.5","0","0.5","1"
0.949,0.949,0.949,0.949,0.949,0.949,0.95,0.951,0.953
0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.961,0.957
0.971,0.971,0.971,0.971,0.971,0.971,0.97,0.962,0.956
0.969,0.969,0.969,0.969,0.969,0.968,0.965,0.942,0.93
0.951,0.951,0.951,0.951,0.952,0.953,0.955,0.961,0.959
0.968,0.968,0.968,0.968,0.968,0.969,0.969,0.969,0.975
0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.968,0.97
0.969,0.969,0.969,0.969,0.969,0.97,0.97,0.969,0.975
0.965,0.965,0.965,0.965,0.965,0.966,0.966,0.957,0.951
0.972,0.972,0.972,0.972,0.972,0.972,0.971,0.973,0.969
0.967,0.967,0.967,0.967,0.967,0.967,0.967,0.965,0.969
0.963,0.963,0.963,0.963,0.963,0.963,0.964,0.965,0.965
0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.953,0.947
0.963,0.963,0.963,0.963,0.963,0.963,0.962,0.963,0.961
0.963,0.963,0.963,0.963,0.963,0.963,0.964,0.963,0.962
0.958,0.958,0.958,0.958,0.959,0.959,0.959,0.957,0.962
0.965,0.965,0.965,0.965,0.965,0.965,0.964,0.942,0.935
0.977,0.976,0.976,0.976,0.976,0.976,0.975,0.971,0.971
0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.969,0.968
0.965,0.965,0.965,0.965,0.965,0.964,0.963,0.959,0.961
0.958,0.958,0.958,0.958,0.958,0.958,0.957,0.954,0.955
0.97,0.97,0.97,0.97,0.971,0.971,0.971,0.972,0.971
0.958,0.958,0.958,0.958,0.958,0.959,0.96,0.96,0.962
0.974,0.974,0.974,0.974,0.975,0.975,0.975,0.971,0.971
0.95,0.95,0.951,0.951,0.951,0.952,0.955,0.95,0.944
0.974,0.974,0.974,0.974,0.974,0.974,0.975,0.974,0.975
0.955,0.955,0.955,0.955,0.955,0.955,0.954,0.951,0.952
0.968,0.968,0.968,0.968,0.967,0.967,0.965,0.966,0.963
0.97,0.97,0.97,0.97,0.97,0.97,0.971,0.971,0.968
0.971,0.971,0.971,0.971,0.971,0.971,0.968,0.945,0.934
