"ref","1","2","3"
10514,-0.001,-0.001,-0.001
7882,-0.001,-421.648,0.963
57975,-0.001,-0.001,-0.001
30517,-0.001,-0.001,-0.001
5130,-0.001,-0.001,-0.001
20277,-0.001,-0.001,NA
26939,-0.001,-0.001,NA
27296,-0.001,-0.001,-0.001
27376,-0.001,-0.001,-0.001
28877,-0.001,-0.001,-0.001
6603,-0.001,NA,NA
56232,-0.001,-0.001,-0.001
16661,-0.001,-0.001,-134.117
34372,-0.001,-0.001,-86.635
34412,-683.492,0.918,NA
55047,-0.001,-0.002,-0.002
31268,-0.001,-0.002,-98.042
38128,-0.001,-0.001,NA
57088,-0.001,-0.001,-0.001
49273,-0.001,-0.001,-0.001
1540,-0.001,-0.001,-0.001
41420,-0.001,-0.001,-0.001
42064,-0.001,-0.001,-0.001
19119,-0.001,-0.001,-0.001
9408,-0.001,-409.387,NA
54840,-0.001,-0.001,-0.001
34246,-0.001,-0.001,-0.001
26336,-0.001,-0.001,-2.832
18408,-0.001,-0.001,-0.001
47254,-0.001,NA,NA
23513,-0.001,-0.001,-0.001
11645,-0.001,-95.113,0.944
2232,-0.001,-0.001,-58.734
48073,-0.001,-0.001,-0.001
65303,-0.001,-0.001,-0.001
20581,-0.001,-0.001,-0.128
51784,-0.001,-0.001,-0.001
63795,-0.001,-0.001,-0.001
9504,-0.001,-0.001,-67.308
7256,-0.001,-0.001,-0.001
40318,-0.001,-0.001,-0.002
57027,-0.001,-0.001,-0.001
57900,-0.001,-0.001,-0.001
31043,-0.001,NA,NA
25134,-0.001,-0.001,NA
40050,-0.001,-0.001,-0.001
44728,-0.001,-0.001,-0.001
11968,-0.001,-0.001,-0.892
346,-958.847,0.942,NA
36720,-0.001,-0.001,-0.001
48604,-0.001,-0.001,-0.001
13899,-0.001,-0.001,-0.001
27186,-0.001,-0.001,0
47100,-0.001,-0.001,-0.001
50875,-0.001,-0.001,-0.001
4912,-0.001,-0.001,0
64613,-0.001,-0.001,-0.001
16035,-0.001,-1.989,0.6
16653,-0.001,-0.001,-0.001
13237,-0.001,0,0
57238,-0.001,-0.001,-0.001
37522,-0.001,-0.001,-0.001
10825,-0.001,-177.073,0.949
18922,-0.001,-0.001,-0.001
