0,0,0,0,0
0.001,0.001,0.001,-0.001,0.001
0.002,0,0.002,0.002,0.002
0.003,-0.001,0.003,0.004,0.002
0.003,0.004,0.002,0.005,0.004
0.005,0.022,0.006,0.005,0.005
0.078,0.068,0.067,0.07,0.084
0.221,0.147,0.146,0.184,0.147
0.497,0.566,0.602,0.141,0.41
0.008,0.906,0.946,0.956,0.947
0.977,0.947,0.973,0.983,0.939
0.98,0.983,0.905,0.983,0.959
0.984,0.978,0.973,0.954,0.981
0.979,0.984,0.935,0.938,0.983
0.901,0.956,0.937,0.971,0.989
0.98,0.98,0.971,0.959,0.959
0.952,0.982,0.977,0.985,0.959
0.964,0.975,0.967,0.967,0.988
