0,0,0
0.128,0.13,0.128
0.131,0.133,0.13
0.311,0.3,0.318
0.362,0.351,0.362
0.388,0.381,0.387
0.434,0.426,0.424
0.515,0.512,0.489
0.541,0.573,0.529
0.586,0.596,0.583
0.717,0.724,0.712
0.73,0.73,0.714
0.729,0.732,0.715
0.823,0.806,0.813
0.835,0.821,0.828
0.882,0.881,0.86
0.923,0.919,0.918
0.924,0.922,0.92
0.933,0.931,0.93
0.944,0.945,0.942
0.948,0.95,0.944
