"-3","-2","-1","0","1"
0.991,0.991,0.991,0.988,0.972
0.994,0.994,0.992,0.989,0.981
0.992,0.991,0.991,0.985,0.979
0.993,0.993,0.991,0.99,0.979
0.988,0.988,0.989,0.984,0.973
0.991,0.991,0.993,0.991,0.979
0.989,0.989,0.99,0.988,0.969
0.988,0.988,0.988,0.985,0.975
0.988,0.989,0.987,0.988,0.975
0.987,0.987,0.989,0.986,0.972
0.991,0.991,0.99,0.989,0.98
0.989,0.989,0.988,0.983,0.966
0.984,0.984,0.984,0.983,0.961
0.994,0.994,0.994,0.991,0.981
0.987,0.987,0.988,0.987,0.971
0.99,0.989,0.989,0.987,0.975
0.99,0.99,0.991,0.986,0.979
0.988,0.986,0.988,0.984,0.971
0.993,0.994,0.992,0.992,0.977
0.993,0.993,0.993,0.988,0.978
0.992,0.991,0.99,0.986,0.978
0.987,0.987,0.989,0.986,0.976
0.992,0.993,0.992,0.99,0.978
0.995,0.995,0.995,0.991,0.982
0.992,0.992,0.99,0.988,0.974
0.988,0.988,0.989,0.988,0.971
0.99,0.99,0.991,0.986,0.969
0.991,0.991,0.992,0.99,0.979
0.99,0.99,0.989,0.987,0.968
0.992,0.994,0.991,0.989,0.979
