"-3","-2.5","-2","-1.5","-1","-0.5","0","0.5","1"
0.765,0.765,0.765,0.765,0.766,0.766,0.766,0.766,0.767
0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669
0.761,0.761,0.761,0.761,0.761,0.761,0.761,0.761,0.76
0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.79
0.698,0.698,0.698,0.698,0.698,0.698,0.699,0.699,0.701
0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759
0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.7
0.727,0.727,0.727,0.727,0.727,0.727,0.727,0.727,0.726
0.707,0.707,0.707,0.707,0.707,0.707,0.707,0.707,0.705
0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.724
0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.677,0.677
0.774,0.774,0.774,0.774,0.774,0.774,0.773,0.773,0.772
0.744,0.744,0.744,0.744,0.744,0.744,0.744,0.744,0.744
0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737
0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.765
0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728
0.744,0.744,0.744,0.744,0.744,0.744,0.744,0.744,0.742
0.744,0.744,0.744,0.744,0.744,0.744,0.744,0.744,0.743
0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.676,0.678
0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.72
0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.745
0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.779,0.778
0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.753,0.753
0.704,0.704,0.704,0.704,0.704,0.704,0.705,0.705,0.707
0.721,0.721,0.721,0.721,0.721,0.721,0.721,0.721,0.721
0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.715
0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.756
0.673,0.673,0.673,0.673,0.673,0.674,0.674,0.675,0.678
0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.688
