"0","1e-05","1e-04","0.001","0.01","0.1","1","10"
0.825,0.731,0.642,0.218,0.355,0.263,-0.004,-0.002
0.748,0.545,-0.873,0.125,0.333,0.159,-0.004,-0.003
0.883,-0.115,-0.057,0.353,0.137,0.057,-0.013,-0.002
0.699,0.049,0.448,0.565,0.361,-0.53,-0.008,-0.003
0.742,-3.754,0.603,0.588,0.193,0.234,-0.005,0
0.745,0.569,0.437,0.582,-0.244,0.366,0.366,-0.001
0.688,0.619,0.378,0.213,0.102,0.171,-0.004,-0.002
0.813,0.587,0.412,0.499,0.323,-0.159,-0.013,-0.001
0.658,-2.715,0.552,0.489,0.373,0.22,0.251,-0.003
0.807,0.506,0.354,-0.256,0.426,-0.06,-0.002,-0.002
