"0","1e-05","1e-04","0.001","0.01","0.1","1","10"
-0.452,-1690.525,-3487.158,-23288.121,-65.627,-0.656,-0.003,0
-540.279,-0.374,-290527.277,-135.032,-0.285,-0.29,-0.003,-0.002
-499.647,-53.02,-55352.505,-0.258,-24.78,-0.404,-0.002,-0.001
-0.409,-0.472,-18563.035,-1220.686,-0.274,-0.943,-0.169,0
-482.972,-0.391,-496228.874,-0.339,-51.386,-0.435,-0.149,-0.003
-0.603,-22023.079,-0.354,-764.59,-50.264,-0.613,-0.011,-0.001
-144.303,-16.488,-40988.689,-17.593,-15.374,-0.501,-0.012,-0.011
-0.371,-0.308,-0.305,-0.289,-0.299,-0.875,-0.01,-0.003
-560.544,-214832.435,-2034.255,-0.698,-30.893,-1.194,-0.002,0
-596.468,-0.594,-0.634,-1512.367,-641.207,-0.725,-0.214,-0.003
