"-3","-2.5","-2","-1.5","-1","-0.5","0","0.5","1"
0.946,0.946,0.946,0.947,0.947,0.948,0.937,0.89,0.838
0.959,0.959,0.959,0.959,0.96,0.96,0.952,0.91,0.853
0.948,0.948,0.948,0.949,0.949,0.95,0.942,0.893,0.836
0.952,0.952,0.952,0.952,0.953,0.952,0.942,0.895,0.836
0.953,0.953,0.954,0.954,0.954,0.955,0.947,0.908,0.859
0.95,0.951,0.951,0.951,0.951,0.951,0.942,0.896,0.844
0.944,0.944,0.944,0.944,0.945,0.945,0.938,0.893,0.848
0.956,0.956,0.956,0.956,0.957,0.956,0.945,0.905,0.861
0.951,0.952,0.952,0.952,0.952,0.952,0.943,0.899,0.85
0.947,0.947,0.947,0.948,0.948,0.948,0.936,0.883,0.822
0.941,0.941,0.941,0.941,0.942,0.943,0.935,0.886,0.843
0.952,0.952,0.952,0.952,0.953,0.953,0.943,0.894,0.839
0.951,0.951,0.951,0.951,0.952,0.953,0.945,0.902,0.846
0.954,0.954,0.954,0.955,0.955,0.956,0.947,0.908,0.858
0.945,0.945,0.945,0.945,0.946,0.946,0.937,0.891,0.835
0.952,0.952,0.952,0.953,0.953,0.953,0.943,0.902,0.838
0.956,0.956,0.956,0.956,0.957,0.957,0.948,0.902,0.839
0.956,0.956,0.956,0.956,0.956,0.955,0.944,0.901,0.855
0.953,0.953,0.953,0.953,0.953,0.953,0.943,0.897,0.841
0.944,0.944,0.945,0.945,0.946,0.946,0.938,0.896,0.858
0.958,0.958,0.958,0.959,0.959,0.959,0.948,0.904,0.856
0.946,0.946,0.947,0.947,0.947,0.947,0.936,0.888,0.831
0.946,0.946,0.946,0.946,0.946,0.946,0.936,0.894,0.838
0.956,0.956,0.956,0.956,0.956,0.956,0.947,0.903,0.855
0.95,0.95,0.95,0.95,0.951,0.952,0.943,0.9,0.853
0.942,0.942,0.943,0.943,0.944,0.946,0.939,0.894,0.842
0.949,0.949,0.949,0.949,0.95,0.95,0.941,0.899,0.843
0.954,0.954,0.954,0.954,0.955,0.954,0.945,0.905,0.851
0.951,0.951,0.951,0.951,0.951,0.95,0.937,0.884,0.83
0.952,0.952,0.952,0.953,0.953,0.954,0.946,0.903,0.852
