"ref","1","2"
954,0.734,0.744
7076,0.539,0.732
1826,0.542,0.673
2401,0.899,0.866
4450,0.313,0.711
186,0.864,0.746
5802,0.586,0.74
7544,0.589,0.757
4081,0.586,0.766
5634,0.762,0.801
504,0.625,0.711
6687,0.541,0.769
803,0.405,0.671
2300,0.473,0.609
1367,0.875,0.786
6263,0.554,0.783
551,0.87,0.814
7244,-1.197,0.733
7339,0.426,0.673
3309,0.841,0.733
745,0.703,0.809
7307,0.835,0.785
1430,-0.474,0.436
6247,0.881,0.856
3136,0.604,0.688
3869,0.797,0.847
3541,0.663,0.792
2775,0.626,0.816
4522,0.899,0.848
3570,0.83,0.838
7065,-0.17,0.764
3505,0.605,0.718
2722,0.939,0.872
3217,0.331,0.7
1068,0.558,0.742
5596,0.448,0.741
734,0.785,0.824
3824,0.101,0.509
5213,0.457,0.73
3209,0.486,0.736
6346,0.543,0.807
6695,0.433,0.737
1330,0.732,0.772
2379,0.508,0.686
2984,0.891,0.864
4019,0.493,0.676
2044,0.533,0.723
7587,0.212,0.66
1159,0.59,0.777
121,0.649,0.759
5510,0.339,0.55
5971,0.668,0.819
7831,0.874,0.88
1369,0.865,0.783
67,0.425,0.746
2345,0.53,0.325
696,0.346,0.739
4362,0.507,0.715
5416,0.554,0.827
423,0.659,0.706
3629,0.836,0.79
6316,0.233,0.609
7697,-0.465,0.761
813,0.651,0.737
3793,0.296,0.789
5243,0.671,0.768
5350,-0.662,0.357
4366,0.843,0.781
851,0.771,0.742
4198,0.52,0.749
254,0.571,0.756
2146,0.682,0.735
5064,-0.141,0.273
1371,0.831,0.698
1180,0.36,0.75
700,0.597,0.796
1380,0.487,0.692
4460,0.508,0.676
7509,0.418,0.717
4494,0.679,0.68
6308,0.615,0.731
569,0.46,0.831
3329,0.391,0.296
4506,0.927,0.896
2214,0.644,0.749
1463,0.672,0.783
6965,0.913,0.852
7773,0.901,0.876
5984,0.732,0.832
3411,-0.563,0.711
3508,0.822,0.795
6727,0.893,0.879
7151,0.441,0.763
2495,0.554,0.72
6889,0.631,0.76
1171,0.601,0.687
6406,0.529,0.791
6013,0.678,0.787
568,0.167,0.763
64,0.543,0.69
6833,0.589,0.761
4611,0.482,0.714
5109,-1.115,0.605
1202,0.289,0.698
3873,-0.242,0.71
5202,0.814,0.769
7861,0.577,0.714
4592,0.778,0.811
151,0.934,0.872
3969,0.897,0.818
7390,0.395,0.701
4326,0.57,0.725
5703,0.892,0.852
5403,0.742,0.824
4939,-2.215,0.667
7134,0.581,0.805
3066,0.705,0.816
4571,0.912,0.813
1217,0.862,0.827
985,0.915,0.871
7227,0.565,0.765
2938,0.874,0.861
5186,0.841,0.799
5748,0.581,0.738
5489,0.571,0.706
6238,0.802,0.836
5136,0.853,0.751
1131,0.858,0.828
3773,-1.069,0.81
5718,0.703,0.748
5994,0.646,0.781
4380,0.812,0.786
3322,0.78,0.703
5032,0.039,0.349
7601,0.494,0.749
767,0.371,0.784
4169,0.915,0.883
1127,0.924,0.871
1025,0.821,0.777
7450,0.088,0.626
6370,0.714,0.781
2071,-0.061,0.678
3398,0.788,0.808
6349,-0.096,0.719
4541,0.743,0.629
5072,-0.676,0.547
5522,0.483,0.697
6724,0.851,0.825
4198,0.52,0.749
7748,0.488,0.79
6351,0.364,0.771
6990,0.866,0.856
3462,0.699,0.861
7813,0.915,0.874
5364,0.268,0.676
3014,0.045,0.721
4408,0.627,0.682
1249,0.543,0.772
15,0.864,0.831
2524,0.907,0.845
2048,0.517,0.691
7721,0.8,0.791
2434,0.47,0.721
2139,0.669,0.668
7146,0.481,0.794
4296,0.887,0.877
2043,0.252,0.581
4130,0.867,0.841
378,0.513,0.734
5205,0.323,0.688
2668,0.509,0.782
5381,0.732,0.766
5764,0.818,0.834
4676,0.539,0.734
6283,0.185,0.73
7471,0.22,0.693
671,0.524,0.768
4548,0.927,0.85
663,0.715,0.758
7407,0.413,0.739
2323,0.246,0.766
621,0.639,0.782
7637,-0.465,0.764
3615,0.721,0.815
6500,0.712,0.752
5608,0.51,0.714
3396,0.346,0.761
5857,0.546,0.758
5403,0.742,0.824
1507,0.599,0.805
3366,-0.03,0.686
3376,-0.233,0.739
6069,0.341,0.789
4663,-0.234,0.353
358,0.809,0.797
6754,0.682,0.827
6149,-0.169,0.681
6374,0.624,0.796
605,0.766,0.749
1167,0.323,0.778
6773,0.809,0.817
7486,0.344,0.601
5154,0.496,0.648
5462,0.592,0.662
2387,0.676,0.767
4944,-3.108,0.535
4880,-2.614,0.639
6282,-0.69,0.578
5811,0.456,0.859
5422,0.642,0.778
5440,0.86,0.82
2164,0.728,0.681
1536,0.867,0.862
1616,0.804,0.83
4356,0.469,0.717
4079,0.375,0.731
2727,0.875,0.837
1942,-0.805,0.71
7513,0.845,0.806
3321,0.889,0.862
6091,0.915,0.871
6905,0.856,0.821
6481,0.885,0.838
1355,0.917,0.861
501,0.529,0.717
2765,0.489,0.72
4279,0.669,0.812
1524,0.887,0.829
1046,0.387,0.747
4030,0.826,0.815
2640,0.205,0.736
5388,0.915,0.886
7463,0.528,0.686
4817,-0.839,0.186
7406,0.629,0.797
3502,0.878,0.87
1494,0.416,0.806
5668,0.768,0.833
