"ref","1","2","3"
29289,0.298,0.04,-1.422
17349,0.493,0.493,-0.265
59698,0.519,0.165,-1.522
19909,0.645,0.25,-3.2
27850,0.452,-1.541,-1.371
42134,0.165,0.353,-1.56
33949,0.31,0.519,-1.151
39319,0.36,-3.078,-0.392
30489,0.528,0.235,-1.44
52543,0.472,0.397,-1.704
11065,0.257,-0.271,-1.252
59484,-0.52,-0.601,-2.715
26,0.271,0.597,-2.66
303,0.563,-2.65,-1.559
36674,0.506,-2.671,-0.764
58388,0.582,0.094,-1.393
13484,0.3,0.429,-2.322
22184,0.253,-0.726,-2.417
17694,0.246,-0.114,-2.685
25151,0.451,0.388,-0.801
51414,0.375,-1.95,-1.295
48796,0.249,-1.379,-2.132
27493,0.546,-0.007,-3.063
4324,0.464,-0.802,-0.614
18500,0.555,0.216,-0.517
38470,0.371,-0.509,-2.388
49077,0.405,-1.792,-0.799
33449,0.323,-0.091,-1.818
48123,0.49,0.095,-0.276
10519,0.225,0.06,-0.707
149,-0.104,0.589,-4.1
49157,0.312,0.03,-1.255
56782,0.174,0.125,-1.878
6021,0.507,-1.565,-1.269
3749,0.402,0.419,-2.632
45233,0.574,-0.157,-3.619
39311,0.335,0.131,-2.546
39893,0.217,-1.651,-1.783
16230,0.508,0.071,-2.313
20145,0.412,-0.421,-1.685
52857,0.241,-0.41,-5.476
40009,0.398,-0.925,-2.231
10786,0.3,-0.424,-2.74
52632,-0.02,-0.496,-2.443
25277,0.469,0.544,-0.469
53143,0.297,-0.243,-1.703
24626,0.218,-0.066,-1.058
7921,0.185,-2.806,-1.919
16964,0.552,0.39,-1.167
2001,0.544,0.252,-1.875
17880,0.284,-0.144,-1.205
49688,-0.365,-1.45,-3.291
47343,0.53,0.282,-0.327
42005,0.364,-1.77,-0.793
25403,-0.367,-0.445,-2.491
15240,0.425,-1.611,-1.737
56849,-0.015,-0.077,-2.523
21716,0.286,0.157,-1.241
47135,0.446,-0.719,-0.836
59423,0.558,0.025,-2.267
49463,0.32,0.337,-0.953
2455,0.318,0.089,-0.307
11876,0.572,-0.357,-1.453
39868,0.446,0.074,-0.525
37770,0.542,-0.599,-0.227
56323,0.29,0.272,-1.671
17215,0.438,-0.189,-1.065
11663,0.449,-0.517,-0.916
23092,-0.269,-2.301,-4.375
28845,0.072,-2.291,-1.993
19131,0.383,-0.462,-1.421
49754,0.342,-0.659,-2.068
52438,0.073,-0.363,-2.418
6537,0.333,-1.956,-1.681
58919,0.554,-0.218,-1.113
19996,0.35,-1.388,-1.841
1183,0.53,0.535,-0.919
