"-3","-2","-1","0","1"
0.955,0.955,0.955,0.955,0.956
0.957,0.957,0.957,0.957,0.957
0.957,0.957,0.957,0.957,0.957
0.956,0.956,0.956,0.956,0.956
0.957,0.957,0.957,0.957,0.957
0.956,0.956,0.956,0.956,0.956
0.956,0.956,0.956,0.956,0.956
0.953,0.953,0.953,0.953,0.953
0.957,0.957,0.957,0.957,0.957
0.959,0.959,0.959,0.959,0.959
0.957,0.957,0.957,0.957,0.957
0.955,0.955,0.955,0.955,0.955
0.956,0.956,0.956,0.956,0.956
0.958,0.958,0.958,0.958,0.958
0.957,0.957,0.957,0.957,0.957
0.952,0.952,0.952,0.952,0.952
0.958,0.958,0.958,0.958,0.958
0.956,0.956,0.956,0.957,0.957
0.957,0.957,0.957,0.957,0.957
0.958,0.958,0.958,0.958,0.958
0.958,0.958,0.958,0.958,0.958
0.956,0.956,0.956,0.956,0.956
0.956,0.956,0.956,0.956,0.956
0.956,0.956,0.956,0.956,0.956
0.957,0.957,0.957,0.957,0.957
0.957,0.957,0.957,0.957,0.957
0.957,0.957,0.957,0.957,0.957
0.953,0.953,0.953,0.953,0.953
0.956,0.956,0.956,0.956,0.956
0.957,0.957,0.957,0.957,0.957
