"-3","-2","-1","0","1"
0.878,0.88,0.893,0.887,0.821
0.917,0.92,0.934,0.924,0.806
0.874,0.879,0.901,0.909,0.796
0.882,0.886,0.903,0.884,0.764
0.901,0.905,0.925,0.906,0.763
0.926,0.93,0.945,0.949,0.854
0.878,0.882,0.901,0.91,0.842
0.914,0.917,0.927,0.928,0.817
0.914,0.917,0.931,0.938,0.83
0.903,0.906,0.92,0.919,0.855
0.874,0.878,0.896,0.871,0.73
0.928,0.93,0.939,0.932,0.831
0.854,0.859,0.88,0.894,0.795
0.883,0.887,0.903,0.884,0.796
0.896,0.899,0.914,0.925,0.889
0.907,0.91,0.931,0.933,0.823
0.902,0.905,0.92,0.922,0.807
0.909,0.913,0.928,0.921,0.832
0.88,0.883,0.895,0.904,0.851
0.92,0.923,0.934,0.926,0.785
0.914,0.918,0.93,0.929,0.823
0.904,0.906,0.918,0.904,0.81
0.939,0.942,0.952,0.938,0.825
0.901,0.904,0.915,0.912,0.839
0.903,0.907,0.922,0.917,0.796
0.908,0.912,0.928,0.928,0.82
0.898,0.902,0.918,0.923,0.795
0.845,0.849,0.866,0.881,0.78
0.868,0.871,0.895,0.919,0.873
0.869,0.874,0.891,0.905,0.822
