"-3","-2.5","-2","-1.5","-1","-0.5","0","0.5","1"
0.858,0.858,0.858,0.858,0.859,0.86,0.861,0.856,0.834
0.848,0.848,0.848,0.848,0.849,0.849,0.845,0.829,0.791
0.813,0.813,0.813,0.813,0.814,0.815,0.815,0.809,0.785
0.868,0.868,0.868,0.869,0.87,0.872,0.873,0.87,0.847
0.879,0.879,0.879,0.879,0.88,0.88,0.878,0.867,0.84
0.844,0.844,0.844,0.845,0.846,0.848,0.849,0.845,0.827
0.863,0.863,0.863,0.864,0.864,0.865,0.862,0.847,0.806
0.861,0.861,0.862,0.862,0.863,0.865,0.866,0.857,0.836
0.864,0.864,0.864,0.864,0.865,0.866,0.865,0.853,0.815
0.841,0.841,0.841,0.842,0.842,0.843,0.84,0.826,0.789
0.868,0.868,0.868,0.869,0.87,0.872,0.874,0.87,0.844
0.752,0.752,0.752,0.753,0.753,0.754,0.753,0.74,0.717
0.853,0.853,0.853,0.853,0.854,0.856,0.856,0.851,0.825
0.865,0.865,0.865,0.866,0.866,0.868,0.867,0.859,0.827
0.856,0.856,0.856,0.857,0.858,0.86,0.859,0.846,0.82
0.857,0.857,0.857,0.858,0.858,0.86,0.86,0.856,0.83
0.874,0.874,0.874,0.875,0.876,0.878,0.879,0.871,0.842
0.888,0.888,0.888,0.889,0.889,0.89,0.888,0.877,0.844
0.853,0.853,0.853,0.853,0.853,0.853,0.848,0.829,0.787
0.841,0.841,0.841,0.842,0.843,0.846,0.848,0.845,0.829
0.896,0.896,0.896,0.896,0.896,0.897,0.896,0.891,0.866
0.827,0.827,0.827,0.827,0.828,0.828,0.826,0.81,0.781
0.846,0.846,0.846,0.847,0.847,0.849,0.848,0.839,0.809
0.864,0.864,0.864,0.865,0.865,0.866,0.866,0.857,0.828
0.873,0.873,0.873,0.874,0.874,0.875,0.874,0.859,0.82
0.869,0.869,0.869,0.869,0.87,0.871,0.869,0.858,0.819
0.826,0.826,0.827,0.827,0.828,0.829,0.828,0.814,0.781
0.757,0.757,0.757,0.758,0.759,0.764,0.768,0.764,0.764
0.83,0.83,0.83,0.831,0.832,0.833,0.833,0.822,0.791
0.874,0.875,0.875,0.875,0.876,0.877,0.877,0.87,0.848
