"-3","-2.5","-2","-1.5","-1","-0.5","0","0.5","1"
0.945,0.929,0.944,0.946,0.944,0.932,0.884,0.759,0.496
0.948,0.943,0.948,0.944,0.945,0.932,0.881,0.75,0.499
0.946,0.947,0.947,0.956,0.951,0.937,0.888,0.769,0.522
0.942,0.94,0.942,0.949,0.946,0.935,0.899,0.806,0.526
0.959,0.962,0.958,0.955,0.954,0.936,0.888,0.797,0.54
0.94,0.941,0.942,0.942,0.941,0.929,0.883,0.767,0.489
0.924,0.924,0.924,0.924,0.921,0.91,0.872,0.787,0.531
0.939,0.948,0.948,0.948,0.946,0.94,0.911,0.829,0.539
0.968,0.955,0.918,0.967,0.964,0.948,0.894,0.761,0.474
0.918,0.917,0.916,0.917,0.915,0.898,0.829,0.695,0.453
0.965,0.965,0.965,0.965,0.962,0.947,0.896,0.775,0.499
0.932,0.933,0.931,0.93,0.935,0.931,0.889,0.83,0.549
0.935,0.933,0.935,0.934,0.928,0.913,0.864,0.733,0.465
0.952,0.957,0.956,0.954,0.948,0.928,0.876,0.769,0.505
0.936,0.955,0.939,0.932,0.945,0.894,0.891,0.792,0.511
0.921,0.922,0.927,0.924,0.922,0.913,0.874,0.77,0.489
0.943,0.939,0.944,0.946,0.946,0.94,0.909,0.83,0.576
0.964,0.972,0.957,0.958,0.967,0.953,0.906,0.799,0.524
0.962,0.968,0.965,0.969,0.967,0.954,0.899,0.776,0.519
0.896,0.895,0.896,0.894,0.89,0.873,0.813,0.679,0.484
0.946,0.946,0.945,0.952,0.948,0.932,0.879,0.762,0.507
0.921,0.921,0.922,0.923,0.925,0.918,0.879,0.786,0.527
0.936,0.927,0.934,0.937,0.936,0.925,0.876,0.754,0.541
0.949,0.954,0.954,0.951,0.944,0.928,0.882,0.778,0.515
0.964,0.968,0.964,0.972,0.934,0.962,0.931,0.84,0.483
0.898,0.898,0.907,0.905,0.9,0.884,0.833,0.717,0.501
0.92,0.92,0.922,0.927,0.923,0.911,0.876,0.793,0.534
0.969,0.969,0.968,0.968,0.961,0.952,0.905,0.783,0.496
0.968,0.968,0.967,0.966,0.96,0.945,0.897,0.786,0.505
0.956,0.955,0.955,0.954,0.955,0.947,0.902,0.79,0.538
