"-3","-2","-1","0","1"
0.969,0.969,0.971,0.979,0.964
0.979,0.979,0.98,0.983,0.959
0.968,0.969,0.971,0.98,0.963
0.973,0.973,0.973,0.976,0.957
0.955,0.955,0.956,0.965,0.958
0.954,0.954,0.956,0.963,0.944
0.972,0.972,0.973,0.978,0.967
0.961,0.961,0.963,0.969,0.946
0.965,0.965,0.966,0.97,0.952
0.967,0.968,0.968,0.968,0.943
0.966,0.966,0.967,0.967,0.944
0.982,0.982,0.982,0.984,0.968
0.968,0.968,0.969,0.975,0.953
0.949,0.95,0.952,0.965,0.961
0.968,0.968,0.969,0.971,0.951
0.98,0.981,0.981,0.985,0.964
0.979,0.979,0.98,0.984,0.965
0.974,0.975,0.976,0.98,0.955
0.948,0.948,0.95,0.959,0.948
0.957,0.957,0.958,0.96,0.936
0.975,0.975,0.976,0.978,0.954
0.976,0.976,0.977,0.981,0.964
0.971,0.971,0.973,0.977,0.961
0.956,0.956,0.957,0.958,0.956
0.971,0.971,0.973,0.978,0.955
0.98,0.98,0.981,0.986,0.968
0.98,0.98,0.98,0.983,0.954
0.967,0.967,0.968,0.97,0.946
0.931,0.931,0.933,0.946,0.94
0.958,0.958,0.959,0.968,0.955
