"-3","-2.5","-2","-1.5","-1","-0.5","0","0.5","1"
0.978,0.978,0.978,0.978,0.978,0.978,0.977,0.975,0.961
0.943,0.943,0.943,0.943,0.943,0.943,0.942,0.94,0.925
0.969,0.969,0.969,0.969,0.969,0.969,0.97,0.97,0.961
0.96,0.96,0.96,0.96,0.96,0.961,0.962,0.964,0.959
0.97,0.97,0.97,0.97,0.97,0.971,0.971,0.97,0.959
0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.974,0.951
0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.964,0.943
0.971,0.971,0.971,0.97,0.971,0.97,0.97,0.968,0.956
0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.976,0.96
0.956,0.956,0.956,0.955,0.956,0.956,0.956,0.955,0.937
0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.974,0.956
0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.964,0.952
0.956,0.957,0.957,0.957,0.957,0.958,0.959,0.963,0.958
0.966,0.966,0.966,0.966,0.966,0.966,0.967,0.968,0.964
0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.979,0.959
0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.967,0.949
0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.967,0.947
0.966,0.966,0.966,0.967,0.967,0.967,0.967,0.965,0.953
0.964,0.964,0.964,0.964,0.964,0.964,0.965,0.966,0.955
0.973,0.973,0.973,0.973,0.973,0.973,0.972,0.968,0.944
0.973,0.973,0.973,0.973,0.973,0.973,0.974,0.973,0.958
0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.982,0.964
0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.961
0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.964,0.947
0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.974,0.965
0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.944
0.955,0.955,0.955,0.956,0.956,0.956,0.957,0.956,0.948
0.973,0.973,0.973,0.973,0.973,0.972,0.971,0.967,0.942
0.971,0.971,0.971,0.971,0.971,0.971,0.973,0.973,0.963
0.97,0.97,0.97,0.97,0.97,0.97,0.969,0.965,0.946
