"-3","-2.5","-2","-1.5","-1","-0.5","0","0.5","1"
0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.316
0.357,0.357,0.357,0.357,0.357,0.357,0.356,0.355,0.346
0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.324,0.321
0.273,0.273,0.273,0.273,0.274,0.274,0.275,0.277,0.276
0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.37,0.359
0.322,0.322,0.322,0.322,0.322,0.323,0.323,0.324,0.321
0.34,0.34,0.339,0.339,0.34,0.34,0.339,0.339,0.33
0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.325,0.318
0.32,0.32,0.32,0.32,0.32,0.32,0.319,0.316,0.304
0.309,0.309,0.309,0.309,0.309,0.309,0.309,0.309,0.304
0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.334,0.327
0.309,0.309,0.31,0.309,0.309,0.309,0.309,0.308,0.3
0.337,0.337,0.337,0.337,0.337,0.338,0.338,0.34,0.337
0.329,0.329,0.329,0.329,0.329,0.329,0.33,0.33,0.328
0.342,0.342,0.342,0.342,0.342,0.341,0.341,0.338,0.325
0.37,0.37,0.37,0.37,0.37,0.369,0.368,0.364,0.35
0.3,0.3,0.3,0.3,0.3,0.3,0.301,0.303,0.303
0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.32,0.312
0.305,0.305,0.305,0.305,0.306,0.306,0.306,0.305,0.299
0.298,0.298,0.298,0.298,0.298,0.298,0.298,0.299,0.295
0.336,0.336,0.336,0.336,0.336,0.336,0.335,0.332,0.319
0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.313,0.303
0.32,0.32,0.32,0.32,0.32,0.32,0.321,0.322,0.321
0.285,0.285,0.285,0.285,0.285,0.285,0.287,0.29,0.29
0.297,0.297,0.297,0.297,0.297,0.297,0.298,0.298,0.294
0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.343,0.335
0.301,0.301,0.301,0.301,0.301,0.301,0.302,0.302,0.298
0.327,0.327,0.327,0.327,0.327,0.327,0.327,0.327,0.319
0.343,0.343,0.343,0.343,0.343,0.343,0.343,0.341,0.33
0.373,0.373,0.373,0.373,0.373,0.372,0.372,0.37,0.36
