"-3","-2","-1","0","1"
0.665,0.665,0.665,0.665,0.663
0.637,0.637,0.637,0.638,0.634
0.61,0.61,0.61,0.61,0.604
0.609,0.609,0.609,0.61,0.604
0.599,0.599,0.599,0.599,0.592
0.619,0.62,0.62,0.62,0.612
0.63,0.63,0.63,0.631,0.626
0.656,0.656,0.656,0.657,0.654
0.614,0.614,0.614,0.615,0.61
0.634,0.634,0.634,0.634,0.63
0.626,0.626,0.626,0.626,0.622
0.629,0.629,0.629,0.629,0.624
0.623,0.623,0.623,0.623,0.618
0.634,0.634,0.634,0.635,0.629
0.623,0.623,0.623,0.623,0.617
0.624,0.624,0.624,0.624,0.62
0.65,0.65,0.65,0.651,0.648
0.632,0.632,0.632,0.633,0.629
0.602,0.602,0.602,0.602,0.597
0.642,0.642,0.642,0.643,0.638
