"-4","-3.5","-3","-2.5","-2","-1.5","-1","-0.5","0","0.5","1","1.5","2","2.5"
0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.617,0.586,0.522,0.205
0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.596,0.596,0.592,0.57,0.515,0.212
0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.608,0.604,0.601,0.536,0.21
0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.6,0.6,0.599,0.596,0.584,0.516,0.211
0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.584,0.548,0.5,0.208
0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.598,0.578,0.52,0.213
0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.592,0.588,0.59,0.536,0.215
0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.619,0.615,0.608,0.545,0.22
0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.615,0.611,0.589,0.537,0.22
0.632,0.632,0.632,0.632,0.632,0.632,0.632,0.632,0.631,0.629,0.624,0.624,0.562,0.22
0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.628,0.624,0.63,0.56,0.213
0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.593,0.589,0.586,0.528,0.214
0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.634,0.633,0.628,0.534,0.488,0.213
0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.574,0.574,0.572,0.593,0.531,0.217
0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.616,0.612,0.592,0.536,0.216
0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.587,0.584,0.611,0.546,0.21
0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.615,0.611,0.569,0.507,0.206
0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.595,0.594,0.591,0.568,0.508,0.198
0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.594,0.59,0.585,0.531,0.219
0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.641,0.637,0.61,0.554,0.227
0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.587,0.584,0.584,0.525,0.206
0.632,0.632,0.632,0.632,0.632,0.632,0.632,0.631,0.631,0.63,0.626,0.59,0.525,0.202
0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.605,0.604,0.6,0.6,0.539,0.22
0.586,0.586,0.586,0.586,0.586,0.586,0.586,0.586,0.586,0.584,0.58,0.593,0.536,0.207
0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.64,0.637,0.588,0.533,0.225
0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.609,0.605,0.56,0.51,0.22
0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.598,0.593,0.592,0.531,0.212
0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.602,0.598,0.589,0.529,0.213
0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.603,0.59,0.528,0.213
0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.61,0.606,0.599,0.538,0.216
0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.585,0.585,0.585,0.583,0.58,0.526,0.218
0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.606,0.605,0.602,0.583,0.518,0.201
0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.644,0.64,0.591,0.527,0.206
0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.601,0.597,0.587,0.53,0.209
0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.616,0.613,0.597,0.536,0.218
0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.602,0.598,0.57,0.515,0.205
0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.627,0.623,0.531,0.485,0.217
0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.615,0.611,0.586,0.524,0.214
0.591,0.591,0.591,0.591,0.591,0.591,0.591,0.591,0.591,0.59,0.587,0.641,0.575,0.22
0.574,0.574,0.574,0.574,0.574,0.574,0.574,0.574,0.574,0.573,0.57,0.616,0.558,0.228
