"-6","-5.5","-5","-4.5","-4","-3.5","-3","-2.5","-2","-1.5","-1","-0.5","0","0.5","1"
0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.91,0.907,0.895,0.844,0.584
0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.913,0.91,0.9,0.853,0.591
0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.931,0.928,0.918,0.869,0.594
0.914,0.913,0.914,0.913,0.913,0.913,0.913,0.914,0.914,0.914,0.913,0.912,0.906,0.868,0.626
0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.926,0.923,0.912,0.86,0.593
0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.912,0.912,0.911,0.908,0.896,0.843,0.578
0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.92,0.917,0.906,0.854,0.56
0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.921,0.919,0.91,0.867,0.62
0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.932,0.93,0.92,0.874,0.605
0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.914,0.905,0.859,0.613
0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.919,0.913,0.873,0.606
0.925,0.925,0.925,0.925,0.925,0.925,0.926,0.925,0.925,0.925,0.924,0.921,0.909,0.857,0.609
0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.922,0.921,0.913,0.873,0.624
0.925,0.924,0.925,0.925,0.925,0.924,0.925,0.924,0.924,0.924,0.923,0.92,0.909,0.86,0.605
0.911,0.912,0.912,0.912,0.912,0.912,0.912,0.912,0.912,0.911,0.911,0.907,0.893,0.831,0.541
0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.915,0.914,0.911,0.901,0.851,0.592
0.925,0.925,0.924,0.925,0.924,0.924,0.924,0.924,0.925,0.925,0.924,0.922,0.913,0.868,0.603
0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.922,0.922,0.919,0.908,0.858,0.586
0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.934,0.932,0.922,0.875,0.602
0.911,0.911,0.911,0.911,0.911,0.911,0.91,0.91,0.91,0.91,0.909,0.906,0.896,0.85,0.602
0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.919,0.91,0.864,0.598
0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.93,0.928,0.92,0.875,0.617
0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.919,0.919,0.918,0.914,0.901,0.854,0.607
0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.917,0.916,0.913,0.9,0.84,0.566
0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.911,0.903,0.859,0.597
