"-3","-2","-1","0","1"
0.889,0.895,0.91,0.908,0.717
0.867,0.873,0.888,0.887,0.693
0.851,0.857,0.872,0.875,0.721
0.88,0.885,0.898,0.897,0.728
0.875,0.88,0.892,0.883,0.69
0.863,0.868,0.885,0.89,0.733
0.859,0.866,0.886,0.888,0.745
0.892,0.899,0.912,0.911,0.748
0.856,0.862,0.874,0.862,0.67
0.902,0.906,0.918,0.91,0.738
0.873,0.877,0.889,0.886,0.709
0.885,0.89,0.902,0.893,0.721
0.879,0.885,0.897,0.897,0.735
0.871,0.878,0.896,0.897,0.716
0.882,0.887,0.897,0.889,0.717
0.866,0.873,0.889,0.883,0.693
0.847,0.854,0.876,0.876,0.711
0.876,0.885,0.907,0.91,0.724
0.837,0.843,0.857,0.859,0.708
0.899,0.905,0.92,0.914,0.741
0.899,0.904,0.915,0.905,0.743
0.883,0.889,0.906,0.899,0.721
0.886,0.89,0.902,0.895,0.77
0.861,0.868,0.887,0.896,0.685
0.878,0.883,0.893,0.883,0.712
0.861,0.869,0.89,0.893,0.703
0.884,0.889,0.902,0.898,0.71
0.849,0.856,0.874,0.878,0.704
0.855,0.861,0.875,0.874,0.71
0.872,0.878,0.894,0.893,0.711
